Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 1,https://www.congress.gov/bill/114th-congress/senate-bill/1,114th Congress (2015-2016),Keystone XL Pipeline Approval Act,,"Hoeven, John [Sen.-R-ND]",,1/6/15,59,,,,Message on Senate action sent to the House.,3/4/15,"Vitter, David [Sen.-R-LA]","Hatch, Orrin G. [Sen.-R-UT]","Cochran, Thad [Sen.-R-MS]","Grassley, Chuck [Sen.-R-IA]","McConnell, Mitch [Sen.-R-KY]","Shelby, Richard C. [Sen.-R-AL]","McCain, John [Sen.-R-AZ]","Coats, Daniel [Sen.-R-IN]","Inhofe, James M. [Sen.-R-OK]","Collins, Susan M. [Sen.-R-ME]","Enzi, Michael B. [Sen.-R-WY]","Roberts, Pat [Sen.-R-KS]","Sessions, Jeff [Sen.-R-AL]","Crapo, Mike [Sen.-R-ID]","Cornyn, John [Sen.-R-TX]","Murkowski, Lisa [Sen.-R-AK]","Alexander, Lamar [Sen.-R-TN]","Graham, Lindsey [Sen.-R-SC]","Burr, Richard [Sen.-R-NC]","Thune, John [Sen.-R-SD]","Isakson, Johnny [Sen.-R-GA]","Corker, Bob [Sen.-R-TN]","McCaskill, Claire [Sen.-D-MO]","Tester, Jon [Sen.-D-MT]","Barrasso, John [Sen.-R-WY]","Wicker, Roger F. [Sen.-R-MS]","Risch, James E. [Sen.-R-ID]","Warner, Mark R. [Sen.-D-VA]","Manchin, Joe, III [Sen.-D-WV]","Kirk, Mark Steven [Sen.-R-IL]","Ayotte, Kelly [Sen.-R-NH]","Blunt, Roy [Sen.-R-MO]","Boozman, John [Sen.-R-AR]","Johnson, Ron [Sen.-R-WI]","Lee, Mike [Sen.-R-UT]","Moran, Jerry [Sen.-R-KS]","Paul, Rand [Sen.-R-KY]","Portman, Rob [Sen.-R-OH]","Rubio, Marco [Sen.-R-FL]","Heller, Dean [Sen.-R-NV]","Cruz, Ted [Sen.-R-TX]","Donnelly, Joe [Sen.-D-IN]","Fischer, Deb [Sen.-R-NE]","Flake, Jeff [Sen.-R-AZ]","Heitkamp, Heidi [Sen.-D-ND]","Scott, Tim [Sen.-R-SC]","Capito, Shelley Moore [Sen.-R-WV]","Cassidy, Bill [Sen.-R-LA]","Cotton, Tom [Sen.-R-AR]","Daines, Steve [Sen.-R-MT]","Ernst, Joni [Sen.-R-IA]","Gardner, Cory [Sen.-R-CO]","Lankford, James [Sen.-R-OK]","Perdue, David [Sen.-R-GA]","Rounds, Mike [Sen.-R-SD]","Sasse, Ben [Sen.-R-NE]","Sullivan, Dan [Sen.-R-AK]","Toomey, Patrick [Sen.-R-PA]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,Sales and excise taxes,Government trust funds,Government studies and investigations,Government information and archives,"Government buildings, facilities, and property",General Services Administration,Federal appellate courts,Environmental technology,"Environmental assessment, monitoring, research","Energy storage, supplies, demand",Energy efficiency and conservation,Energy,Higher education,Industrial facilities,Judicial review and appeals,Licensing and registrations,Lighting and heating,Materials,Nebraska,Oil and gas,Performance measurement,Pipelines,Pollution liability,Public contracts and procurement,Public utilities and utility rates,Real estate business,Water use and supply,Administrative law and regulatory procedures,Alternative and renewable resources,Building construction,Canada,Climate change and greenhouse gases,Congressional oversight,Consumer affairs,Educational facilities and institutions,Electric power generation and transmission,Elementary and secondary education,"Lighting, heating, cooling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3,https://www.congress.gov/bill/114th-congress/senate-bill/3,114th Congress (2015-2016),Creating Opportunities for Rural Economic Expansion Act,,"Capito, Shelley Moore [Sen.-R-WV]",,11/15/16,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,11/15/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unemployment,Economic development,Housing and community development funding,Income tax credits,Coal,Taxation,Mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4,https://www.congress.gov/bill/114th-congress/senate-bill/4,114th Congress (2015-2016),Protecting Access to Diabetes Supplies Act of 2016,,"Coats, Daniel [Sen.-R-IN]",,11/16/16,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,11/16/16,"Warner, Mark R. [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digestive and metabolic diseases,Health,"Health technology, devices, supplies",Medicare,Public contracts and procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 7,https://www.congress.gov/bill/114th-congress/senate-bill/7,114th Congress (2015-2016),Steve Gleason Act of 2016,,"Vitter, David [Sen.-R-LA]",,12/1/16,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,12/1/16,"Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Health care coverage and access,"Health technology, devices, supplies","Hearing, speech, and vision care",Medicare,Neurological disorders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 8,https://www.congress.gov/bill/114th-congress/senate-bill/8,114th Congress (2015-2016),A bill to provide for the approval of the Agreement for Cooperation Between the Government of the United States of America and the Government of the Kingdom of Norway Concerning Peaceful Uses of Nuclear Energy.,,"Corker, Bob [Sen.-R-TN]",,12/1/16,1,,,Senate - Foreign Relations,Became Public Law No: 114-320.,12/16/16,"Cardin, Benjamin L. [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congressional oversight,Europe,International Affairs,International law and treaties,International organizations and cooperation,Norway,Nuclear power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 10,https://www.congress.gov/bill/114th-congress/senate-bill/10,114th Congress (2015-2016),Anti-Semitism Awareness Act of 2016,,"Scott, Tim [Sen.-R-SC]",,12/1/16,4,,,House - Judiciary,Referred to the Subcommittee on the Constitution and Civil Justice.,12/22/16,"Wyden, Ron [Sen.-D-OR]","Graham, Lindsey [Sen.-R-SC]","Casey, Robert P., Jr. [Sen.-D-PA]","Bennet, Michael F. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education programs funding,"Civil Rights and Liberties, Minority Issues",Elementary and secondary education,Government studies and investigations,Higher education,Human rights,Racial and ethnic relations,Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 11,https://www.congress.gov/bill/114th-congress/senate-bill/11,114th Congress (2015-2016),ENFORCE the Law Act of 2015,,"Blunt, Roy [Sen.-R-MO]",,1/6/15,24,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,1/6/15,"Lankford, James [Sen.-R-OK]","Risch, James E. [Sen.-R-ID]","Perdue, David [Sen.-R-GA]","Capito, Shelley Moore [Sen.-R-WV]","Cotton, Tom [Sen.-R-AR]","Cassidy, Bill [Sen.-R-LA]","Hatch, Orrin G. [Sen.-R-UT]","Cochran, Thad [Sen.-R-MS]","Coats, Daniel [Sen.-R-IN]","Inhofe, James M. [Sen.-R-OK]","Enzi, Michael B. [Sen.-R-WY]","Roberts, Pat [Sen.-R-KS]","Crapo, Mike [Sen.-R-ID]","Cornyn, John [Sen.-R-TX]","Murkowski, Lisa [Sen.-R-AK]","Graham, Lindsey [Sen.-R-SC]","Isakson, Johnny [Sen.-R-GA]","Ayotte, Kelly [Sen.-R-NH]","Boozman, John [Sen.-R-AR]","Johnson, Ron [Sen.-R-WI]","Moran, Jerry [Sen.-R-KS]","Paul, Rand [Sen.-R-KY]","Fischer, Deb [Sen.-R-NE]","Scott, Tim [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supreme Court,"Presidents and presidential powers, Vice Presidents",Legislative rules and procedure,Judicial review and appeals,Government Operations and Politics,Constitution and constitutional amendments,Congressional-executive branch relations,Congressional oversight,Administrative law and regulatory procedures,Civil actions and liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 12,https://www.congress.gov/bill/114th-congress/senate-bill/12,114th Congress (2015-2016),Hire More Heroes Act of 2015,,"Blunt, Roy [Sen.-R-MO]",,1/6/15,29,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/6/15,"Sessions, Jeff [Sen.-R-AL]","Barrasso, John [Sen.-R-WY]","Heller, Dean [Sen.-R-NV]","Shelby, Richard C. [Sen.-R-AL]","Wicker, Roger F. [Sen.-R-MS]","Coats, Daniel [Sen.-R-IN]","Sullivan, Dan [Sen.-R-AK]","Capito, Shelley Moore [Sen.-R-WV]","Hatch, Orrin G. [Sen.-R-UT]","Cochran, Thad [Sen.-R-MS]","McCain, John [Sen.-R-AZ]","Inhofe, James M. [Sen.-R-OK]","Collins, Susan M. [Sen.-R-ME]","Enzi, Michael B. [Sen.-R-WY]","Roberts, Pat [Sen.-R-KS]","Cornyn, John [Sen.-R-TX]","Murkowski, Lisa [Sen.-R-AK]","Vitter, David [Sen.-R-LA]","Burr, Richard [Sen.-R-NC]","Thune, John [Sen.-R-SD]","Kirk, Mark Steven [Sen.-R-IL]","Ayotte, Kelly [Sen.-R-NH]","Boozman, John [Sen.-R-AR]","Hoeven, John [Sen.-R-ND]","Moran, Jerry [Sen.-R-KS]","Portman, Rob [Sen.-R-OH]","Toomey, Patrick [Sen.-R-PA]","Fischer, Deb [Sen.-R-NE]","Scott, Tim [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comprehensive health care,Employee benefits and pensions,Taxation,Sales and excise taxes,Military medicine,Health care coverage and access,Health care costs and insurance,Veterans' medical care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 13,https://www.congress.gov/bill/114th-congress/senate-bill/13,114th Congress (2015-2016),Hurricane Sand Dunes National Recreation Area Act of 2015,,"Hatch, Orrin G. [Sen.-R-UT]",,1/6/15,0,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/6/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Land transfers,Motor vehicles,"Parks, recreation areas, trails",Public Lands and Natural Resources,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 14,https://www.congress.gov/bill/114th-congress/senate-bill/14,114th Congress (2015-2016),Scofield Land Transfer Act,,"Hatch, Orrin G. [Sen.-R-UT]",,1/6/15,0,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/6/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utah,Water storage,Roads and highways,Public Lands and Natural Resources,Outdoor recreation,Land transfers,Floods and storm protection,Government trust funds,Congressional oversight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
