Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 1,https://www.congress.gov/bill/115th-congress/senate-bill/1,115th Congress (2017-2018),An original bill to provide for reconciliation pursuant to title II of the concurrent resolution on the budget for fiscal year 2018.,,"Enzi, Michael B. [Sen.-R-WY]",,11/28/17,0,,,Senate - Budget,Placed on Senate Legislative Calendar under General Orders. Calendar No. 269.,11/28/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Military personnel and dependents,Mississippi,Mississippi River,Middle East,Motor vehicles,Oil and gas,Pedestrians and bicycling,Poverty and welfare assistance,Prescription drugs,Professional sports,Property tax,Public participation and lobbying,Public utilities and utility rates,Puerto Rico,Research and development,Residential rehabilitation and home repair,Rural conditions and development,Sales and excise taxes,School athletics,Securities,Sex offenses,Military operations and strategy,Small business,"Social work, volunteer service, charitable organizations",State and local government operations,State and local taxation,Strategic materials and reserves,Student aid and college costs,"Tax administration and collection, taxpayers",Tax reform and tax simplification,Tax treatment of families,Tax-exempt organizations,Taxation,Taxation of foreign income,"Teaching, teachers, curricula",Texas,Transfer and inheritance taxes,Transportation costs,U.S. territories and protectorates,User charges and fees,Wages and earnings,Water storage,Water use and supply,"Wilderness and natural areas, wildlife refuges, wild rivers, habitats",Accounting and auditing,Agricultural equipment and machinery,Alaska,Alaska Natives and Hawaiians,Alcoholic beverages,Arctic and polar regions,Assault and harassment offenses,Athletes,Aviation and airports,"Bank accounts, deposits, capital",Budget deficits and national debt,Budget process,Business expenses,Business investment and capital,Capital gains tax,Caribbean area,Charitable contributions,Civil actions and liability,Commodities markets,Commuting,Corporate finance and management,Correctional facilities and imprisonment,Department of the Treasury,Disability and paralysis,Disaster relief and insurance,Drug therapy,Economic development,Egypt,Electric power generation and transmission,Employee benefits and pensions,Employee leave,Employment discrimination and employee rights,Energy revenues and royalties,Executive agency funding and structure,Farmland,Financial services and investments,Floods and storm protection,Food industry and services,Foreign and international corporations,Fraud offenses and financial crimes,Fruit and vegetables,Gambling,Health care costs and insurance,Health care coverage and access,Higher education,Historic sites and heritage areas,Housing and community development funding,Housing finance and home ownership,Housing supply and affordability,Income tax credits,Income tax deductions,Income tax exclusion,Income tax rates,Indian claims,Inflation and prices,Insurance industry and regulation,"Interest, dividends, interest rates",Internal Revenue Service (IRS),Land transfers,Legal fees and court costs,Licensing and registrations,"Life, casualty, property insurance",Louisiana,Low- and moderate-income housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2,https://www.congress.gov/bill/115th-congress/senate-bill/2,115th Congress (2017-2018),Effective Prosecution of Possession of Biological Toxins and Agents Act of 2018,,"Grassley, Chuck [Sen.-R-IA]",,12/3/18,3,,,Senate - Judiciary,Held at the desk.,12/19/18,"Feinstein, Dianne [Sen.-D-CA]","Cornyn, John [Sen.-R-TX]","Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emergency medical services and trauma care,Chemical and biological weapons,Hazardous wastes and toxic substances,Terrorism,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3,https://www.congress.gov/bill/115th-congress/senate-bill/3,115th Congress (2017-2018),Anti-Pyramid Promotional Scheme Act of 2018,,"Hatch, Orrin G. [Sen.-R-UT]",,12/3/18,0,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/3/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,Consumer affairs,Financial services and investments,Fraud offenses and financial crimes,Marketing and advertising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4,https://www.congress.gov/bill/115th-congress/senate-bill/4,115th Congress (2017-2018),Acquitted Conduct Reform Act of 2018,,"Hatch, Orrin G. [Sen.-R-UT]",,12/4/18,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,12/4/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criminal procedure and sentencing,State and local courts,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5,https://www.congress.gov/bill/115th-congress/senate-bill/5,115th Congress (2017-2018),Fix IOUs for Student Veterans Act of 2018,,"Gardner, Cory [Sen.-R-CO]",,12/4/18,1,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,12/4/18,"Jones, Doug [Sen.-D-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accounting and auditing,Armed Forces and National Security,Department of Veterans Affairs,Executive agency funding and structure,Government studies and investigations,Student aid and college costs,"Veterans' education, employment, rehabilitation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 6,https://www.congress.gov/bill/115th-congress/senate-bill/6,115th Congress (2017-2018),Lifelong Learning and Training Account Act of 2018,,"Warner, Mark R. [Sen.-D-VA]",,11/26/18,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,11/26/18,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bank accounts, deposits, capital",Education programs funding,Employee benefits and pensions,Employment and training programs,Higher education,Income tax exclusion,Licensing and registrations,Vocational and technical education,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 7,https://www.congress.gov/bill/115th-congress/senate-bill/7,115th Congress (2017-2018),NASA Enhanced Use Leasing Extension Act of 2018,,"Wicker, Roger F. [Sen.-R-MS]",,11/27/18,0,,,"Senate - Commerce, Science, and Transportation",Became Public Law No: 115-403.,12/31/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Government buildings, facilities, and property",Lease and rental services,National Aeronautics and Space Administration,Public contracts and procurement,"Science, Technology, Communications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 8,https://www.congress.gov/bill/115th-congress/senate-bill/8,115th Congress (2017-2018),Timely Review of Infrastructure Act,,"Cassidy, Bill [Sen.-R-LA]",,11/27/18,2,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,11/27/18,"Murkowski, Lisa [Sen.-R-AK]","Gardner, Cory [Sen.-R-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congressional oversight,Employee hiring,"Energy storage, supplies, demand",Federal Energy Regulatory Commission (FERC),"Government employee pay, benefits, personnel management",Public contracts and procurement,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 9,https://www.congress.gov/bill/115th-congress/senate-bill/9,115th Congress (2017-2018),Innovators to Entrepreneurs Act of 2018,,"Coons, Christopher A. [Sen.-D-DE]",,11/27/18,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",11/27/18,"Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business education,Business investment and capital,Congressional oversight,Government studies and investigations,Research administration and funding,Research and development,Small business,Technology transfer and commercialization,"Science, Technology, Communications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 10,https://www.congress.gov/bill/115th-congress/senate-bill/10,115th Congress (2017-2018),A bill to amend the Internal Revenue Code of 1986 to exclude from gross income certain Federally-subsidized loan repayments for dental school faculty.,,"Cardin, Benjamin L. [Sen.-D-MD]",,11/27/18,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,11/27/18,"Wicker, Roger F. [Sen.-R-MS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Congressional oversight,Dental care,Education programs funding,Government studies and investigations,Health programs administration and funding,Income tax exclusion,Medical education,Student aid and college costs,"Teaching, teachers, curricula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
