Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 3,https://www.congress.gov/bill/116th-congress/senate-bill/3,116th Congress (2019-2020),Keeping Health Insurance Affordable Act of 2019,,"Cardin, Benjamin L. [Sen.-D-MD]",,1/3/19,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/3/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Child health,Comprehensive health care,Department of Health and Human Services,Executive agency funding and structure,Health care costs and insurance,Health care coverage and access,Health programs administration and funding,Medicaid,Medicare,Prescription drugs,Public contracts and procurement,Retail and wholesale trades,Business records,Income tax credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4,https://www.congress.gov/bill/116th-congress/senate-bill/4,116th Congress (2019-2020),LIFT (Livable Incomes for Families Today) the Middle Class Act,,"Harris, Kamala D. [Sen.-D-CA]",,1/3/19,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/3/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Government information and archives,Income tax credits,Inflation and prices,Poverty and welfare assistance,"Social work, volunteer service, charitable organizations","Tax administration and collection, taxpayers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 20,https://www.congress.gov/bill/116th-congress/senate-bill/20,116th Congress (2019-2020),Presidential Tax Transparency Act,,"Wyden, Ron [Sen.-D-OR]",,1/3/19,22,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,1/3/19,"Klobuchar, Amy [Sen.-D-MN]","Leahy, Patrick J. [Sen.-D-VT]","Carper, Thomas R. [Sen.-D-DE]","Menendez, Robert [Sen.-D-NJ]","Cardin, Benjamin L. [Sen.-D-MD]","Whitehouse, Sheldon [Sen.-D-RI]","Bennet, Michael F. [Sen.-D-CO]","Gillibrand, Kirsten E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Baldwin, Tammy [Sen.-D-WI]","Kaine, Tim [Sen.-D-VA]","Murphy, Christopher [Sen.-D-CT]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Harris, Kamala D. [Sen.-D-CA]","Van Hollen, Chris [Sen.-D-MD]","Feinstein, Dianne [Sen.-D-CA]","Cantwell, Maria [Sen.-D-WA]","Merkley, Jeff [Sen.-D-OR]","Blumenthal, Richard [Sen.-D-CT]","Stabenow, Debbie [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elections, voting, political campaign regulation","Government ethics and transparency, public corruption",Government information and archives,Government Operations and Politics,"Presidents and presidential powers, Vice Presidents","Tax administration and collection, taxpayers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 22,https://www.congress.gov/bill/116th-congress/senate-bill/22,116th Congress (2019-2020),Medicare Dental Benefit Act of 2019,,"Cardin, Benjamin L. [Sen.-D-MD]",,1/3/19,4,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/3/19,"Blumenthal, Richard [Sen.-D-CT]","Merkley, Jeff [Sen.-D-OR]","Brown, Sherrod [Sen.-D-OH]","Van Hollen, Chris [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Dental care,Emergency medical services and trauma care,Health promotion and preventive care,"Health technology, devices, supplies",Medical tests and diagnostic methods,Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 23,https://www.congress.gov/bill/116th-congress/senate-bill/23,116th Congress (2019-2020),National Commission on the Federal Response to Natural Disasters in Puerto Rico Act of 2019,,"Gillibrand, Kirsten E. [Sen.-D-NY]",,1/3/19,5,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,1/3/19,"Schumer, Charles E. [Sen.-D-NY]","Blumenthal, Richard [Sen.-D-CT]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Harris, Kamala D. [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congressional oversight,Disaster relief and insurance,Government studies and investigations,Natural disasters,Puerto Rico,Advisory bodies,Caribbean area,Disability and paralysis,Ecology,Electric power generation and transmission,Emergency Management,Emergency medical services and trauma care,Emergency planning and evacuation,Floods and storm protection,Foreign language and bilingual programs,Health information and medical records,Health programs administration and funding,Public contracts and procurement,Telephone and wireless communication,U.S. territories and protectorates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 24,https://www.congress.gov/bill/116th-congress/senate-bill/24,116th Congress (2019-2020),Government Employee Fair Treatment Act of 2019,,"Cardin, Benjamin L. [Sen.-D-MD]",,1/3/19,44,,,,Became Public Law No: 116-1.,1/16/19,"Tester, Jon [Sen.-D-MT]","Murphy, Christopher [Sen.-D-CT]","Booker, Cory A. [Sen.-D-NJ]","Wyden, Ron [Sen.-D-OR]","Reed, Jack [Sen.-D-RI]","Cantwell, Maria [Sen.-D-WA]","Shaheen, Jeanne [Sen.-D-NH]","Gillibrand, Kirsten E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Markey, Edward J. [Sen.-D-MA]","Warner, Mark R. [Sen.-D-VA]","Warren, Elizabeth [Sen.-D-MA]","Duckworth, Tammy [Sen.-D-IL]","Menendez, Robert [Sen.-D-NJ]","Jones, Doug [Sen.-D-AL]","Leahy, Patrick J. [Sen.-D-VT]","Murray, Patty [Sen.-D-WA]","Stabenow, Debbie [Sen.-D-MI]","Murkowski, Lisa [Sen.-R-AK]","Schatz, Brian [Sen.-D-HI]","Rosen, Jacky [Sen.-D-NV]","Feinstein, Dianne [Sen.-D-CA]","Collins, Susan M. [Sen.-R-ME]","Durbin, Richard J. [Sen.-D-IL]","Carper, Thomas R. [Sen.-D-DE]","Klobuchar, Amy [Sen.-D-MN]","Whitehouse, Sheldon [Sen.-D-RI]","Bennet, Michael F. [Sen.-D-CO]","Manchin, Joe, III [Sen.-D-WV]","Blumenthal, Richard [Sen.-D-CT]","Baldwin, Tammy [Sen.-D-WI]","Heinrich, Martin [Sen.-D-NM]","Hirono, Mazie K. [Sen.-D-HI]","Kaine, Tim [Sen.-D-VA]","Harris, Kamala D. [Sen.-D-CA]","Hassan, Margaret Wood [Sen.-D-NH]","Van Hollen, Chris [Sen.-D-MD]","Smith, Tina [Sen.-D-MN]","Brown, Sherrod [Sen.-D-OH]","Casey, Robert P., Jr. [Sen.-D-PA]","Sanders, Bernard [Sen.-I-VT]","Udall, Tom [Sen.-D-NM]","King, Angus S., Jr. [Sen.-I-ME]","Cortez Masto, Catherine [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriations,District of Columbia,Employee leave,Executive agency funding and structure,"Government employee pay, benefits, personnel management",Government Operations and Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 26,https://www.congress.gov/bill/116th-congress/senate-bill/26,116th Congress (2019-2020),Vote By Mail Act of 2019,,"Wyden, Ron [Sen.-D-OR]",,1/3/19,16,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,1/3/19,"Cantwell, Maria [Sen.-D-WA]","Feinstein, Dianne [Sen.-D-CA]","Murray, Patty [Sen.-D-WA]","Carper, Thomas R. [Sen.-D-DE]","Sanders, Bernard [Sen.-I-VT]","Whitehouse, Sheldon [Sen.-D-RI]","Gillibrand, Kirsten E. [Sen.-D-NY]","Baldwin, Tammy [Sen.-D-WI]","Murphy, Christopher [Sen.-D-CT]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Harris, Kamala D. [Sen.-D-CA]","Merkley, Jeff [Sen.-D-OR]","Udall, Tom [Sen.-D-NM]","Coons, Christopher A. [Sen.-D-DE]","Schatz, Brian [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elections, voting, political campaign regulation",Government Operations and Politics,Licensing and registrations,Motor vehicles,Postal service,State and local government operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 27,https://www.congress.gov/bill/116th-congress/senate-bill/27,116th Congress (2019-2020),American Miners Act of 2019,,"Manchin, Joe, III [Sen.-D-WV]",,1/3/19,15,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/3/19,"Brown, Sherrod [Sen.-D-OH]","Casey, Robert P., Jr. [Sen.-D-PA]","Warner, Mark R. [Sen.-D-VA]","Kaine, Tim [Sen.-D-VA]","Jones, Doug [Sen.-D-AL]","Durbin, Richard J. [Sen.-D-IL]","Sanders, Bernard [Sen.-I-VT]","Warren, Elizabeth [Sen.-D-MA]","Blumenthal, Richard [Sen.-D-CT]","Van Hollen, Chris [Sen.-D-MD]","Harris, Kamala D. [Sen.-D-CA]","Gillibrand, Kirsten E. [Sen.-D-NY]","Markey, Edward J. [Sen.-D-MA]","Sinema, Kyrsten [Sen.-D-AZ]","Duckworth, Tammy [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Labor and Employment,Coal,Employee benefits and pensions,Government information and archives,Mining,Bankruptcy,Cardiovascular and respiratory health,Corporate finance and management,Government trust funds,Health care costs and insurance,Labor-management relations,Sales and excise taxes,Worker safety and health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 29,https://www.congress.gov/bill/116th-congress/senate-bill/29,116th Congress (2019-2020),"A bill to establish the Office of Critical Technologies and Security, and for other purposes.",,"Warner, Mark R. [Sen.-D-VA]",,1/4/19,9,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,1/4/19,"Cortez Masto, Catherine [Sen.-D-NV]","Hawley, Josh [Sen.-R-MO]","Rubio, Marco [Sen.-R-FL]","Collins, Susan M. [Sen.-R-ME]","Bennet, Michael F. [Sen.-D-CO]","Coons, Christopher A. [Sen.-D-DE]","Blunt, Roy [Sen.-R-MO]","Klobuchar, Amy [Sen.-D-MN]","Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced technology and technological innovations,Advisory bodies,Computer security and identity theft,Computers and information technology,Executive Office of the President,Executive agency funding and structure,Federal officials,Intellectual property,Public contracts and procurement,Technology transfer and commercialization,Trade restrictions,Government Operations and Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 30,https://www.congress.gov/bill/116th-congress/senate-bill/30,116th Congress (2019-2020),Chiropractic Health Parity for Military Beneficiaries Act,,"Baldwin, Tammy [Sen.-D-WI]",,1/8/19,8,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,1/8/19,"Merkley, Jeff [Sen.-D-OR]","Klobuchar, Amy [Sen.-D-MN]","Moran, Jerry [Sen.-R-KS]","Tester, Jon [Sen.-D-MT]","Cramer, Kevin [Sen.-R-ND]","Shaheen, Jeanne [Sen.-D-NH]","Blumenthal, Richard [Sen.-D-CT]","Peters, Gary C. [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alternative treatments,Armed Forces and National Security,Health care costs and insurance,Health care coverage and access,Military medicine,Military personnel and dependents,Musculoskeletal and skin diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
