Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 1,https://www.congress.gov/bill/116th-congress/senate-bill/1,116th Congress (2019-2020),Strengthening America's Security in the Middle East Act of 2019,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,12,,,,Held at the desk.,2/6/19,"Wicker, Roger F. [Sen.-R-MS]","Cramer, Kevin [Sen.-R-ND]","Roberts, Pat [Sen.-R-KS]","Inhofe, James M. [Sen.-R-OK]","McConnell, Mitch [Sen.-R-KY]","Hyde-Smith, Cindy [Sen.-R-MS]","Collins, Susan M. [Sen.-R-ME]","Gardner, Cory [Sen.-R-CO]","Blunt, Roy [Sen.-R-MO]","Risch, James E. [Sen.-R-ID]","Cruz, Ted [Sen.-R-TX]","Rounds, Mike [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arms control and nonproliferation,Aviation and airports,Banking and financial institutions regulation,Chemical and biological weapons,Conflicts and wars,Congressional oversight,Crime victims,Detention of persons,Employee benefits and pensions,"Energy storage, supplies, demand",Financial services and investments,Foreign aid and international relief,Foreign and international banking,Foreign property,Fraud offenses and financial crimes,Government lending and loan guarantees,International Affairs,International law and treaties,International organizations and cooperation,Iran,Israel,Jordan,Lebanon,Licensing and registrations,Middle East,"Military assistance, sales, and agreements",Military operations and strategy,"Military procurement, research, weapons development",Oil and gas,"Presidents and presidential powers, Vice Presidents","Refugees, asylum, displaced persons",Russia,Sanctions,Space flight and exploration,State and local finance,State and local government operations,Syria,Technology transfer and commercialization,Terrorism,Trade restrictions,Visas and passports,War and emergency powers,"War crimes, genocide, crimes against humanity","Criminal investigation, prosecution, interrogation",Government studies and investigations,Health facilities and institutions,Human rights,"Intelligence activities, surveillance, classified information",Nuclear weapons,Reconstruction and stabilization,Rule of law and government transparency,United Nations,Afghanistan,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2,https://www.congress.gov/bill/116th-congress/senate-bill/2,116th Congress (2019-2020),Fair Trade with China Enforcement Act,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,2,,,Senate - Finance,Committee on Small Business and Entrepreneurship. Hearings held.,2/27/19,"Baldwin, Tammy [Sen.-D-WI]","Hawley, Josh [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agricultural equipment and machinery,Alliances,Asia,Aviation and airports,China,"Competitiveness, trade promotion, trade deficits",Computers and information technology,Electric power generation and transmission,"Energy storage, supplies, demand",Foreign and international banking,Foreign and international corporations,Foreign Trade and International Finance,Free trade and trade barriers,Genetics,"Health technology, devices, supplies",Hong Kong,Human rights,"Hybrid, electric, and advanced technology vehicles",Income tax exclusion,Income tax rates,Industrial policy and productivity,Intellectual property,Internet and video services,Manufacturing,Marine and inland water transportation,Materials,"Military procurement, research, weapons development",Motor vehicles,Protest and dissent,Public contracts and procurement,Railroads,Securities,"Sovereignty, recognition, national governance and status",Tariffs,Taxation of foreign income,Technology transfer and commercialization,Telephone and wireless communication,Trade restrictions,U.S. and foreign investments,Wages and earnings,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5,https://www.congress.gov/bill/116th-congress/senate-bill/5,116th Congress (2019-2020),Educational Opportunities Act,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/3/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charitable contributions,Elementary and secondary education,Income tax credits,Sales and excise taxes,"Social work, volunteer service, charitable organizations",Student aid and college costs,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 6,https://www.congress.gov/bill/116th-congress/senate-bill/6,116th Congress (2019-2020),EMPLEO Act,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/3/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caribbean area,Employment taxes,Labor standards,Puerto Rico,"Tax administration and collection, taxpayers",U.S. territories and protectorates,Wages and earnings,Labor and Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 7,https://www.congress.gov/bill/116th-congress/senate-bill/7,116th Congress (2019-2020),Extreme Risk Protection Order and Violence Prevention Act of 2019,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,3,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,1/3/19,"Collins, Susan M. [Sen.-R-ME]","Reed, Jack [Sen.-D-RI]","King, Angus S., Jr. [Sen.-I-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assault and harassment offenses,Civil actions and liability,Crime and Law Enforcement,Crime prevention,"Drug, alcohol, tobacco use",Family relationships,Firearms and explosives,Law enforcement administration and funding,Medical tests and diagnostic methods,Mental health,State and local government operations,Violent crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 8,https://www.congress.gov/bill/116th-congress/senate-bill/8,116th Congress (2019-2020),Preserving Our Commitment to Homeless Veterans Act,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,0,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",1/3/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriations,Armed Forces and National Security,Department of Veterans Affairs,Executive agency funding and structure,"Government employee pay, benefits, personnel management",Homelessness and emergency shelter,Public contracts and procurement,"Veterans' loans, housing, homeless programs",Veterans' medical care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 9,https://www.congress.gov/bill/116th-congress/senate-bill/9,116th Congress (2019-2020),Traditional Cigar Manufacturing and Small Business Jobs Preservation Act of 2019,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,14,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",1/3/19,"Scott, Rick [Sen.-R-FL]","Menendez, Robert [Sen.-D-NJ]","Manchin, Joe, III [Sen.-D-WV]","Cotton, Tom [Sen.-R-AR]","Ernst, Joni [Sen.-R-IA]","Gardner, Cory [Sen.-R-CO]","Inhofe, James M. [Sen.-R-OK]","Casey, Robert P., Jr. [Sen.-D-PA]","Barrasso, John [Sen.-R-WY]","Boozman, John [Sen.-R-AR]","Kennedy, John [Sen.-R-LA]","Graham, Lindsey [Sen.-R-SC]","Tester, Jon [Sen.-D-MT]","Toomey, Patrick [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative law and regulatory procedures,Department of Health and Human Services,"Drug safety, medical device, and laboratory regulation","Drug, alcohol, tobacco use",Food and Drug Administration (FDA),Health,User charges and fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 10,https://www.congress.gov/bill/116th-congress/senate-bill/10,116th Congress (2019-2020),South Florida Clean Coastal Waters Act of 2019,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,1,,,"Senate - Commerce, Science, and Transportation",Placed on Senate Legislative Calendar under General Orders. Calendar No. 518.,8/13/20,"Scott, Rick [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquatic ecology,Congressional oversight,"Environmental assessment, monitoring, research",Environmental Protection,Everglades,Florida,Lakes and rivers,"Marine and coastal resources, fisheries",Water quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 11,https://www.congress.gov/bill/116th-congress/senate-bill/11,116th Congress (2019-2020),Strengthening the National Disaster Medical System Act of 2019,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",1/3/19,"Cornyn, John [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Congressional oversight,Disaster relief and insurance,Emergency medical services and trauma care,Health care coverage and access,Health personnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 12,https://www.congress.gov/bill/116th-congress/senate-bill/12,116th Congress (2019-2020),Health Savings Act of 2019,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,2,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/3/19,"Scott, Tim [Sen.-R-SC]","Murkowski, Lisa [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bankruptcy,Employee benefits and pensions,Health care costs and insurance,Health care coverage and access,Health personnel,Hospital care,Income tax deductions,Indian social and development programs,Inflation and prices,Medicaid,Medicare,Military medicine,Minority health,Nutrition and diet,Physical fitness and lifestyle,Prescription drugs,Religion,Sales and excise taxes,Sports and recreation facilities,"Tax administration and collection, taxpayers",Tax treatment of families,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
