Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 1,https://www.congress.gov/bill/117th-congress/senate-bill/1,117th Congress (2021-2022),For the People Act of 2021,,"Merkley, Jeff [Sen.-D-OR]",,3/17/21,48,,,Senate - Rules and Administration,Placed on Senate Legislative Calendar under General Orders. Calendar No. 123.,8/11/21,"Warner, Mark R. [Sen.-D-VA]","Rosen, Jacky [Sen.-D-NV]","Murray, Patty [Sen.-D-WA]","Hassan, Margaret Wood [Sen.-D-NH]","Menendez, Robert [Sen.-D-NJ]","Shaheen, Jeanne [Sen.-D-NH]","Tester, Jon [Sen.-D-MT]","Sinema, Kyrsten [Sen.-D-AZ]","Hickenlooper, John W. [Sen.-D-CO]","Kelly, Mark [Sen.-D-AZ]","Lujan, Ben Ray [Sen.-D-NM]","Warnock, Raphael G. [Sen.-D-GA]","Padilla, Alex [Sen.-D-CA]","Ossoff, Jon [Sen.-D-GA]","Klobuchar, Amy [Sen.-D-MN]","Schumer, Charles E. [Sen.-D-NY]","Durbin, Richard J. [Sen.-D-IL]","Leahy, Patrick J. [Sen.-D-VT]","Whitehouse, Sheldon [Sen.-D-RI]","Gillibrand, Kirsten E. [Sen.-D-NY]","Van Hollen, Chris [Sen.-D-MD]","Baldwin, Tammy [Sen.-D-WI]","Bennet, Michael F. [Sen.-D-CO]","Cardin, Benjamin L. [Sen.-D-MD]","Carper, Thomas R. [Sen.-D-DE]","Warren, Elizabeth [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Murphy, Christopher [Sen.-D-CT]","Peters, Gary C. [Sen.-D-MI]","Blumenthal, Richard [Sen.-D-CT]","Casey, Robert P., Jr. [Sen.-D-PA]","Feinstein, Dianne [Sen.-D-CA]","Sanders, Bernard [Sen.-I-VT]","Markey, Edward J. [Sen.-D-MA]","Smith, Tina [Sen.-D-MN]","Stabenow, Debbie [Sen.-D-MI]","King, Angus S., Jr. [Sen.-I-ME]","Duckworth, Tammy [Sen.-D-IL]","Cantwell, Maria [Sen.-D-WA]","Kaine, Tim [Sen.-D-VA]","Reed, Jack [Sen.-D-RI]","Brown, Sherrod [Sen.-D-OH]","Coons, Christopher A. [Sen.-D-DE]","Heinrich, Martin [Sen.-D-NM]","Schatz, Brian [Sen.-D-HI]","Cortez Masto, Catherine [Sen.-D-NV]","Hirono, Mazie K. [Sen.-D-HI]","Wyden, Ron [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Executive agency funding and structure,Advisory bodies,Federal Election Commission (FEC),Accounting and auditing,Constitution and constitutional amendments,Criminal justice information and records,Labor-management relations,Members of Congress,Judicial review and appeals,Supreme Court,Government Operations and Politics,Criminal procedure and sentencing,"Criminal investigation, prosecution, interrogation",Foreign and international banking,Tax-exempt organizations,Judges,Political parties and affiliation,Business records,Telephone and wireless communication,Family relationships,Federal officials,Government studies and investigations,Digital media,Marketing and advertising,Television and film,Internet and video services,Fraud offenses and financial crimes,Political advertising,"Broadcasting, cable, digital technologies",Postal service,U.S. Postal Service,Foreign language and bilingual programs,Disability assistance,Federal-Indian relations,Voting rights,Disability and paralysis,Disability and health-based discrimination,Election Assistance Commission,Rural conditions and development,Administrative law and regulatory procedures,Public transit,Census and government statistics,Licensing and registrations,Right of privacy,Motor vehicles,Congressional oversight,U.S. territories and protectorates,Securities and Exchange Commission (SEC),Corporate finance and management,Public participation and lobbying,Administrative remedies,Government information and archives,"Presidents and presidential powers, Vice Presidents","Tax administration and collection, taxpayers","Government ethics and transparency, public corruption",Employment and training programs,Judicial procedure and administration,"Government employee pay, benefits, personnel management",Civil actions and liability,"Elections, voting, political campaign regulation",State and local government operations,Congressional elections,Office of Government Ethics,Immigration status and procedures,"Diplomacy, foreign officials, Americans abroad",Defense spending,Travel and tourism,Computer security and identity theft,"Intelligence activities, surveillance, classified information",Subversive activities,Transportation costs,Aviation and airports,Evidence and witnesses,Performance measurement,State and local finance,Public contracts and procurement,Federal district courts,Congressional districts and representation,Crime prevention,Financial services and investments,Department of Justice,Congressional agencies,Congressional operations and organization,Legislative rules and procedure,Library of Congress,Government Publishing Office (GPO),Sound recording,News media and reporting,Photography and imaging,Adult day care,Child care and development,Health care coverage and access,Northern Mariana Islands,Russia,Emergency medical services and trauma care,Infectious and parasitic diseases,Buy American requirements,Securities,House of Representatives,"Internet, web applications, social media",Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2,https://www.congress.gov/bill/117th-congress/senate-bill/2,117th Congress (2021-2022),AACCENT Act,,"Casey, Robert P., Jr. [Sen.-D-PA]",,11/17/22,6,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",11/17/22,"Gillibrand, Kirsten E. [Sen.-D-NY]","Markey, Edward J. [Sen.-D-MA]","Leahy, Patrick J. [Sen.-D-VT]","Duckworth, Tammy [Sen.-D-IL]","Sanders, Bernard [Sen.-I-VT]","Wyden, Ron [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Welfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4,https://www.congress.gov/bill/117th-congress/senate-bill/4,117th Congress (2021-2022),John R. Lewis Voting Rights Advancement Act of 2021,,"Leahy, Patrick J. [Sen.-D-VT]",,10/5/21,48,,,,Motion by Senator Schumer to reconsider the vote by which cloture on the motion to proceed to S. 4 was not invoked (Record Vote No. 459) entered in Senate.,11/3/21,"Carper, Thomas R. [Sen.-D-DE]","Cardin, Benjamin L. [Sen.-D-MD]","Coons, Christopher A. [Sen.-D-DE]","Cortez Masto, Catherine [Sen.-D-NV]","Duckworth, Tammy [Sen.-D-IL]","Feinstein, Dianne [Sen.-D-CA]","Gillibrand, Kirsten E. [Sen.-D-NY]","Hassan, Margaret Wood [Sen.-D-NH]","Heinrich, Martin [Sen.-D-NM]","Hickenlooper, John W. [Sen.-D-CO]","Hirono, Mazie K. [Sen.-D-HI]","Kaine, Tim [Sen.-D-VA]","Kelly, Mark [Sen.-D-AZ]","King, Angus S., Jr. [Sen.-I-ME]","Klobuchar, Amy [Sen.-D-MN]","Lujan, Ben Ray [Sen.-D-NM]","Markey, Edward J. [Sen.-D-MA]","Menendez, Robert [Sen.-D-NJ]","Merkley, Jeff [Sen.-D-OR]","Murphy, Christopher [Sen.-D-CT]","Murray, Patty [Sen.-D-WA]","Padilla, Alex [Sen.-D-CA]","Peters, Gary C. [Sen.-D-MI]","Reed, Jack [Sen.-D-RI]","Rosen, Jacky [Sen.-D-NV]","Sanders, Bernard [Sen.-I-VT]","Schatz, Brian [Sen.-D-HI]","Shaheen, Jeanne [Sen.-D-NH]","Sinema, Kyrsten [Sen.-D-AZ]","Smith, Tina [Sen.-D-MN]","Stabenow, Debbie [Sen.-D-MI]","Tester, Jon [Sen.-D-MT]","Van Hollen, Chris [Sen.-D-MD]","Warner, Mark R. [Sen.-D-VA]","Warren, Elizabeth [Sen.-D-MA]","Whitehouse, Sheldon [Sen.-D-RI]","Wyden, Ron [Sen.-D-OR]","Schumer, Charles E. [Sen.-D-NY]","Durbin, Richard J. [Sen.-D-IL]","Blumenthal, Richard [Sen.-D-CT]","Warnock, Raphael G. [Sen.-D-GA]","Ossoff, Jon [Sen.-D-GA]","Baldwin, Tammy [Sen.-D-WI]","Bennet, Michael F. [Sen.-D-CO]","Booker, Cory A. [Sen.-D-NJ]","Brown, Sherrod [Sen.-D-OH]","Cantwell, Maria [Sen.-D-WA]","Casey, Robert P., Jr. [Sen.-D-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,Indian lands and resources rights,Law enforcement administration and funding,Racial and ethnic relations,Civil actions and liability,Intergovernmental relations,Legal fees and court costs,Postal service,Alaska Natives and Hawaiians,Foreign language and bilingual programs,Government information and archives,Due process and equal protection,Federal-Indian relations,State and local government operations,Voting rights,Government studies and investigations,"Elections, voting, political campaign regulation",Crimes against property,Sex offenses,Violent crime,Assault and harassment offenses,Judicial review and appeals,User charges and fees,Jurisdiction and venue,Congressional oversight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5,https://www.congress.gov/bill/117th-congress/senate-bill/5,117th Congress (2021-2022),A bill to amend title XVIII of the Social Security Act to ensure appropriate supervision requirements for outpatient physical therapy and outpatient occupational therapy.,,"Carper, Thomas R. [Sen.-D-DE]",,11/17/22,2,,,Senate - Finance,Read twice and referred to the Committee on Finance.,11/17/22,"Moran, Jerry [Sen.-R-KS]","Barrasso, John [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 7,https://www.congress.gov/bill/117th-congress/senate-bill/7,117th Congress (2021-2022),VAWA Technical Amendment Act of 2022,,"Hirono, Mazie K. [Sen.-D-HI]",,11/17/22,0,,,,Became Public Law No: 117-315.,12/27/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,Sex offenses,Crimes against women,Smuggling and trafficking,"Social work, volunteer service, charitable organizations",Violent crime,Women's health,Women's rights,"Sex, gender, sexual orientation discrimination",Domestic violence and child abuse,Human trafficking,Indian social and development programs,Alaska Natives and Hawaiians,Crime victims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 8,https://www.congress.gov/bill/117th-congress/senate-bill/8,117th Congress (2021-2022),Mental and Physical Health Care Comorbidities Act of 2022,,"Bennet, Michael F. [Sen.-D-CO]",,11/17/22,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,11/17/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 9,https://www.congress.gov/bill/117th-congress/senate-bill/9,117th Congress (2021-2022),Trafficking Survivors Relief Act of 2022,,"Gillibrand, Kirsten E. [Sen.-D-NY]",,11/17/22,1,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,11/17/22,"Portman, Rob [Sen.-R-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 11,https://www.congress.gov/bill/117th-congress/senate-bill/11,117th Congress (2021-2022),A bill to provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,,"Schumer, Charles E. [Sen.-D-NY]",,1/3/21,0,,,,Motion to proceed to consideration of measure made in Senate.,3/6/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal officials,Armed Forces and National Security,Military personnel and dependents,Department of Defense,Military command and structure,"Presidents and presidential powers, Vice Presidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 12,https://www.congress.gov/bill/117th-congress/senate-bill/12,117th Congress (2021-2022),A bill to provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,,"Schumer, Charles E. [Sen.-D-NY]",,1/3/21,0,,,Senate - Armed Services,Placed on Senate Legislative Calendar under General Orders. Calendar No. 3.,1/21/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Military personnel and dependents,Military command and structure,Department of Defense,Federal officials,Armed Forces and National Security,"Presidents and presidential powers, Vice Presidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 14,https://www.congress.gov/bill/117th-congress/senate-bill/14,117th Congress (2021-2022),Combating Global Corruption Act of 2021,,"Cardin, Benjamin L. [Sen.-D-MD]",,1/22/21,8,,,Senate - Foreign Relations,Placed on Senate Legislative Calendar under General Orders. Calendar No. 88.,6/24/21,"Sinema, Kyrsten [Sen.-D-AZ]","Collins, Susan M. [Sen.-R-ME]","Whitehouse, Sheldon [Sen.-D-RI]","Coons, Christopher A. [Sen.-D-DE]","Merkley, Jeff [Sen.-D-OR]","Durbin, Richard J. [Sen.-D-IL]","Wyden, Ron [Sen.-D-OR]","Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Affairs,Sanctions,Judicial procedure and administration,International organizations and cooperation,Human rights,Government information and archives,"Government ethics and transparency, public corruption",Employment discrimination and employee rights,"Diplomacy, foreign officials, Americans abroad",Criminal procedure and sentencing,"Criminal investigation, prosecution, interrogation",Crime victims,Crime prevention,Congressional oversight,"Sovereignty, recognition, national governance and status",U.S. and foreign investments,United Nations,Russia,Pipelines,Oil and gas,International law and treaties,Germany,Foreign aid and international relief,Europe,"Energy storage, supplies, demand",Organized crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
