bill_id,URL,Congress,Title
"H.R. 1667",https://www.congress.gov/bill/118th-congress/house-bill/1667,"118th Congress (2023-2024)","To require the Secretary of Agriculture to identify and develop campsites and related facilities for public use in the Ouachita National Forest, and for other purposes."
"H.R. 1666",https://www.congress.gov/bill/118th-congress/house-bill/1666,"118th Congress (2023-2024)","To amend title XVIII to protect patient access to groun ambulance services under part B of the Medicare program."
"H.R. 1665",https://www.congress.gov/bill/118th-congress/house-bill/1665,"118th Congress (2023-2024)","To direct the Secretary of Transportation to establish a program to provide grants to local governments to install publicly accessible safety charging stations for electric bicycles and scooters, and for other purposes."
"H.R. 1664",https://www.congress.gov/bill/118th-congress/house-bill/1664,"118th Congress (2023-2024)","To require the Board of Governors of the Federal Reserve System and the Federal Open Market Committee to consider inflation, employment, and financial stability when setting interest rates."
"H.R. 1663",https://www.congress.gov/bill/118th-congress/house-bill/1663,"118th Congress (2023-2024)","To require the Secretary of the Treasury to designate sectorially critical banking institutions, to require a higher level of regulatory supervision of such institutions, and for other purposes."
"H.R. 1662",https://www.congress.gov/bill/118th-congress/house-bill/1662,"118th Congress (2023-2024)","To direct the Board of Governors of the Federal Reserve System to establish and maintain a permanent emergency lending program to provide member banks and other depository institutions with short-term liquidity against long-term assets."
"H.R. 1661",https://www.congress.gov/bill/118th-congress/house-bill/1661,"118th Congress (2023-2024)","To amend the Internal Revenue Code of 1986 to repeal the excise taxes on wagering."
"H.R. 1660",https://www.congress.gov/bill/118th-congress/house-bill/1660,"118th Congress (2023-2024)","To establish the Avi Kwa Ame National Monument in the State of Nevada, and for other purposes."
"H.R. 1659",https://www.congress.gov/bill/118th-congress/house-bill/1659,"118th Congress (2023-2024)","To direct the Chief Acquisition Officer of the Department of Veterans Affairs to enter into a contract for the independent verification and validation of certain modernization efforts of the Department, and for other purposes."
"H.R. 1658",https://www.congress.gov/bill/118th-congress/house-bill/1658,"118th Congress (2023-2024)","To amend title 38, United States Code, to establish in the Department of Veterans Affairs an Under Secretary for Management, and for other purposes."
"H.R. 1657",https://www.congress.gov/bill/118th-congress/house-bill/1657,"118th Congress (2023-2024)","To provide for a land exchange in the Chippewa National Forest, Minnesota, and for other purposes."
"H.R. 1656",https://www.congress.gov/bill/118th-congress/house-bill/1656,"118th Congress (2023-2024)","To amend the Internal Revenue Code of 1986 to allow a credit against tax for charitable donations to nonprofit organizations providing workforce training."
"H.R. 1655",https://www.congress.gov/bill/118th-congress/house-bill/1655,"118th Congress (2023-2024)","To amend the Higher Education Act of 1965 to extend Federal Pell Grant eligibility to certain short-term workforce programs."
"H.R. 1654",https://www.congress.gov/bill/118th-congress/house-bill/1654,"118th Congress (2023-2024)","To amend the Internal Revenue Code of 1986 to impose a higher rate of tax on bonuses and profits from sales of stock received by executives employed by failing banks that were closed and for which the Federal Deposit Insurance Corporation has been appointed as conservator or receiver."
"H.R. 1653",https://www.congress.gov/bill/118th-congress/house-bill/1653,"118th Congress (2023-2024)","To amend chapter 22 of title 44, United States Code, to ensure Presidential records are preserved, duly created when non-official electronic messaging accounts are used, and made available to the public and the next administration in a timely fashion to advance national security and accountability, and for other purposes."
"H.R. 1652",https://www.congress.gov/bill/118th-congress/house-bill/1652,"118th Congress (2023-2024)","To require the disclosure of certain visitor access records."
"H.R. 1651",https://www.congress.gov/bill/118th-congress/house-bill/1651,"118th Congress (2023-2024)","To amend the Small Business Act to establish requirements for 7(a) agents, and for other purposes."
"H.R. 1650",https://www.congress.gov/bill/118th-congress/house-bill/1650,"118th Congress (2023-2024)","To allow certain qualified law enforcement officers and retired law enforcement officers to carry a concealed firearm to protect children in a school zone."
