Bill Type,Congress,Number of Cosponsors,Cosponsor Dems,Cosponsor Reps,Cosponsor Ind,Cosponsor States,Committees,Latest Action,Subject,Sponsor Title,Sponsor Party,Sponsor State,Month Introduced,"Agriculture, Nutrition, and Forestry",Appropriations,Armed Services,"Banking, Housing, and Urban Affairs",Budget,"Commerce, Science, and Transportation",Energy and Natural Resources,Environment and Public Works,Finance,Foreign Relations,"Health, Education, Labor, and Pensions",Homeland Security and Governmental Affairs,Judiciary,Rules and Administration,Small Business and Entrepreneurship,Veterans Affairs,International Narcotics Control,Ethics,Indian Affairs,Intelligence,Printing,Taxation,Library,Economic,bill_passed,bill_referred_committee
S. ,113,15,15,0,0,12,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S44),Border security and unlawful immigration,Sen.,D,NV,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,16,16,0,0,12,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S44),Child health,Sen.,D,NV,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,16,15,0,1,11,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (text of measure as introduced: CR S44)",Child safety and welfare,Sen.,D,NV,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,14,14,0,0,12,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation. (text of measure as introduced: CR S44-45)",Academic performance and assessments,Sen.,D,NV,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,31,30,0,1,24,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S45),Crime and Law Enforcement,Sen.,D,NV,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,25,24,0,1,20,Senate - Veterans' Affairs,Committee on Veterans' Affairs. Ordered to be reported with an amendment in the nature of a substitute favorably.,Armed Forces and National Security,Sen.,D,NV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,21,20,0,1,16,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation. (text of measure as introduced: CR S47)",Air quality,Sen.,D,NV,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,14,13,0,1,12,Senate - Finance,Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S47),Budget deficits and national debt,Sen.,D,NV,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,19,18,0,1,14,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration. (text of measure as introduced: CR S47-48),Due process and equal protection,Sen.,D,NV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,19,19,0,0,15,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry. (text of measure as introduced: CR S48-156)",Accounting and auditing,Sen.,D,NV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,7,7,0,0,6,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,Advanced technology and technological innovations,Sen.,D,WV,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,18,18,0,0,12,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Business records,Sen.,D,NJ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,1,1,0,0,1,House - Natural Resources | Senate - Energy and Natural Resources,Became Public Law No: 113-87.,Great Lakes,Sen.,D,MI,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
S. ,113,22,22,0,0,15,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Crime and Law Enforcement,Sen.,D,NJ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,13,12,0,1,9,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Administrative remedies,Sen.,D,NJ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,6,6,0,0,4,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Business records,Sen.,D,NJ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Private Legislation,Sen.,D,NY,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,2,2,0,0,1,Senate - Energy and Natural Resources,Placed on Senate Legislative Calendar under General Orders. Calendar No. 391.,Administrative remedies,Sen.,D,MT,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,3,2,1,0,3,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Federal district courts,Sen.,D,NH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Finance,Read twice and referred to the Committee on Finance.,Academic performance and assessments,Sen.,D,IA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,7,3,4,0,6,Senate - Finance,Read twice and referred to the Committee on Finance.,Income tax deductions,Sen.,D,WA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,1,0,1,0,1,Senate - Judiciary,Held at the desk.,Administrative remedies,Sen.,D,VT,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,5,5,0,0,3,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,California,Sen.,D,CA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,61,52,7,2,38,,Became Public Law No: 113-4.,Accounting and auditing,Sen.,D,VT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
