bill_type,bill_id,title,summary,congress_num,sponsor_party,sponsor_state,cosponsors_total,cosponsors_dem,cosponsors_rep,cosponsors_ind,month_introduced,subject,committees,url,house_probabilities,house_predictions
H.R. ,1667,"To require the Secretary of Agriculture to identify and develop campsites and related facilities for public use in the Ouachita National Forest, and for other purposes.",,1,R,AR,0,0,0,0,3,,House - Natural Resources,https://www.congress.gov/bill/118th-congress/house-bill/1667,0.23%,0
H.R. ,1666,To amend title XVIII to protect patient access to groun ambulance services under part B of the Medicare program.,,1,R,OH,3,2,1,0,3,,"House - Energy and Commerce, Ways and Means",https://www.congress.gov/bill/118th-congress/house-bill/1666,0.23%,0
H.R. ,1665,"To direct the Secretary of Transportation to establish a program to provide grants to local governments to install publicly accessible safety charging stations for electric bicycles and scooters, and for other purposes.",,1,D,NY,4,4,0,0,3,,House - Transportation and Infrastructure,https://www.congress.gov/bill/118th-congress/house-bill/1665,0.23%,0
H.R. ,1664,"To require the Board of Governors of the Federal Reserve System and the Federal Open Market Committee to consider inflation, employment, and financial stability when setting interest rates.",,1,D,NY,0,0,0,0,3,,House - Financial Services,https://www.congress.gov/bill/118th-congress/house-bill/1664,0.23%,0
H.R. ,1663,"To require the Secretary of the Treasury to designate sectorially critical banking institutions, to require a higher level of regulatory supervision of such institutions, and for other purposes.",,1,D,NY,0,0,0,0,3,,House - Financial Services,https://www.congress.gov/bill/118th-congress/house-bill/1663,0.23%,0
H.R. ,1662,To direct the Board of Governors of the Federal Reserve System to establish and maintain a permanent emergency lending program to provide member banks and other depository institutions with short-term liquidity against long-term assets.,,1,D,NY,0,0,0,0,3,,House - Financial Services,https://www.congress.gov/bill/118th-congress/house-bill/1662,0.23%,0
H.R. ,1661,To amend the Internal Revenue Code of 1986 to repeal the excise taxes on wagering.,,1,D,NV,3,1,2,0,3,,House - Ways and Means,https://www.congress.gov/bill/118th-congress/house-bill/1661,0.23%,0
H.R. ,1660,"To establish the Avi Kwa Ame National Monument in the State of Nevada, and for other purposes.",,1,D,NV,0,0,0,0,3,,House - Natural Resources,https://www.congress.gov/bill/118th-congress/house-bill/1660,0.23%,0
H.R. ,1659,"To direct the Chief Acquisition Officer of the Department of Veterans Affairs to enter into a contract for the independent verification and validation of certain modernization efforts of the Department, and for other purposes.",,1,D,CA,0,0,0,0,3,,House - Veterans' Affairs,https://www.congress.gov/bill/118th-congress/house-bill/1659,0.23%,0
H.R. ,1658,"To amend title 38, United States Code, to establish in the Department of Veterans Affairs an Under Secretary for Management, and for other purposes.",,1,D,CA,0,0,0,0,3,,House - Veterans' Affairs,https://www.congress.gov/bill/118th-congress/house-bill/1658,0.23%,0
