bill_id,,title,summary,congress_num,sponsor_party,sponsor_state,cosponsors_total,cosponsors_dem,cosponsors_rep,cosponsors_ind,month_introduced,subject,committees,url,senate_probabilities,senate_predictions
S. ,875,"A bill to prohibit the receipt of Federal funds by individuals or entities conducting business with social media companies associated with countries of concern, and for other purposes.",,118,R,FL,1,0,1,0,3,,"Senate - Commerce, Science, and Transportation",https://www.congress.gov/bill/118th-congress/senate-bill/875,0.24%,0
S. ,874,A bill to direct the Secretary of Labor to modify the implementation of the adverse effect wage rate for H-2A nonimmigrants.,,118,D,GA,1,0,1,0,3,,Senate - Judiciary,https://www.congress.gov/bill/118th-congress/senate-bill/874,0.25%,0
S. ,873,"A bill to improve recreation opportunities on, and facilitate greater access to, Federal public land, and for other purposes.",,118,D,WV,1,0,1,0,3,,Senate - Energy and Natural Resources,https://www.congress.gov/bill/118th-congress/senate-bill/873,0.24%,0
S. ,872,"A bill to identify social media entities under the influence of certain foreign entities and to take measures to protect the United States from such entities, and for other purposes.",,118,R,AR,0,0,0,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/872,0.24%,0
S. ,871,"A bill to amend section 7014 of the Elementary and Secondary Education Act of 1965 to advance toward full Federal funding for impact aid, and for other purposes.",,118,D,NM,5,2,3,0,3,,"Senate - Health, Education, Labor, and Pensions",https://www.congress.gov/bill/118th-congress/senate-bill/871,0.24%,0
S. ,870,A bill to amend the Federal Fire Prevention and Control Act of 1974 to authorize appropriations for the United States Fire Administration and firefighter assistance grant programs.,,118,D,MI,3,1,2,0,3,,,https://www.congress.gov/bill/118th-congress/senate-bill/870,0.24%,0
S. ,869,"A bill to amend the Community Development Banking and Financial Institutions Act of 1994 to reauthorize and improve the community development financial institutions bond guarantee program, and for other purposes.",,118,D,MN,7,3,4,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/869,0.24%,0
S. ,868,"A bill to amend title 18, United States Code, to make the murder of a Federal, State, or local law enforcement officer a crime punishable by life in prison or death.",,118,R,AR,0,0,0,0,3,,Senate - Judiciary,https://www.congress.gov/bill/118th-congress/senate-bill/868,0.24%,0
S. ,867,"A bill to amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide for grants for State firearms dealer licensing programs, and for other purposes.",,118,D,HI,8,8,0,0,3,,Senate - Judiciary,https://www.congress.gov/bill/118th-congress/senate-bill/867,0.24%,0
S. ,866,A bill to amend the Internal Revenue Code of 1986 to enhance tax benefits for research activities.,,118,D,NH,13,5,7,1,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/866,0.24%,0
S. ,865,"A bill to amend the Sarbanes-Oxley Act of 2002 to promote transparency by permitting the Public Company Accounting Oversight Board to allow its disciplinary proceedings to be open to the public, and for other purposes.",,118,D,RI,1,0,1,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/865,0.24%,0
S. ,864,"A bill to require the Securities and Exchange Commission to require reporting of sourcing and due diligence activities of companies involving supply chains of products that are imported into the United States that are directly linked to products utilizing forced labor from Xinjiang, China, and for other purposes.",,118,R,FL,2,0,2,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/864,0.24%,0
S. ,863,A bill to establish a temporary commission to develop a consensus and actionable recommendations on a comprehensive grand strategy with respect to the United States relationship with the People's Republic of China for purposes of ensuring a holistic approach toward the People's Republic of China across all Federal departments and agencies.,,118,I,ME,15,7,8,0,3,,Senate - Foreign Relations,https://www.congress.gov/bill/118th-congress/senate-bill/863,0.24%,0
S. ,862,"A bill to address health workforce shortages through additional funding for the National Health Service Corps, and to establish a National Health Service Corps Emergency Service demonstration project.",,118,D,IL,1,0,1,0,3,,"Senate - Health, Education, Labor, and Pensions",https://www.congress.gov/bill/118th-congress/senate-bill/862,0.24%,0
S. ,861,"A bill to require the United States Government to obtain and maintain the capacity to transmit internet access service abroad and domestically in case of emergency-related disruptions, and to strengthen support for circumvention technologies that allow users to evade government-backed censorship.",,118,R,FL,2,0,2,0,3,,"Senate - Commerce, Science, and Transportation",https://www.congress.gov/bill/118th-congress/senate-bill/861,0.24%,0
S. ,860,"A bill to require an annual report on United States portfolio investments in the People's Republic of China, and for other purposes.",,118,R,FL,1,1,0,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/860,0.24%,0
S. ,859,A bill to provide for the expedited consideration of nominations for the Supreme Court of the United States.,,118,D,OR,0,0,0,0,3,,Senate - Rules and Administration,https://www.congress.gov/bill/118th-congress/senate-bill/859,0.24%,0
S. ,858,A bill to permit the televising of Supreme Court proceedings.,,118,D,IL,3,2,1,0,3,,Senate - Judiciary,https://www.congress.gov/bill/118th-congress/senate-bill/858,0.24%,0
S. ,857,"A bill to encourage and facilitate efforts by States and other stakeholders to conserve and sustain the western population of monarch butterflies, and for other purposes.",,118,D,OR,9,9,0,0,3,,Senate - Environment and Public Works,https://www.congress.gov/bill/118th-congress/senate-bill/857,0.24%,0
S. ,856,"A bill to require the Federal Communications Commission to conduct a study and submit to Congress a report examining the feasibility of funding the Universal Service Fund through contributions supplied by edge providers, and for other purposes.",,118,R,MS,3,2,1,0,3,,"Senate - Commerce, Science, and Transportation",https://www.congress.gov/bill/118th-congress/senate-bill/856,0.24%,0
S. ,855,"A bill to amend the Securities Exchange Act of 1934 to require national securities exchanges to identify issuers that are consolidated variable interest entities, and for other purposes.",,118,R,FL,1,1,0,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/855,0.24%,0
S. ,854,"A bill to amend the Securities Exchange Act of 1934 to address the issuance of securities by Chinese entities, and for other purposes.",,118,R,FL,3,0,3,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/854,0.24%,0
S. ,853,A bill to direct the Secretary of Veterans Affairs to establish the Zero Suicide Initiative pilot program of the Department of Veterans Affairs.,,118,D,NV,1,0,1,0,3,,Senate - Veterans' Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/853,0.24%,0
S. ,852,"A bill to prohibit securities investments that finance certain companies of the People's Republic of China and to expand the Non-Specially Designated Nationals Chinese Military-Industrial Complex Companies List of the Office of Foreign Assets Control, and for other purposes.",,118,R,FL,2,0,2,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/852,0.24%,0
S. ,851,A bill to include a Federal defender as a nonvoting member of the United States Sentencing Commission.,,118,D,NJ,1,1,0,0,3,,Senate - Judiciary,https://www.congress.gov/bill/118th-congress/senate-bill/851,0.24%,0
S. ,850,"A bill to incentivize States and localities to improve access to justice, and for other purposes.",,118,D,NJ,1,1,0,0,3,,Senate - Judiciary,https://www.congress.gov/bill/118th-congress/senate-bill/850,0.24%,0
S. ,849,"A bill to authorize the Secretary of the Interior to establish higher minimum rates of pay for certain law enforcement employees of the Bureau of Indian Affairs, and for other purposes.",,118,D,MT,1,0,1,0,3,,Senate - Homeland Security and Governmental Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/849,0.24%,0
S. ,848,"A bill to establish competitive Federal grants that will empower community colleges and minority-serving institutions to become incubators for infant and toddler child care talent, training, and access on their campuses and in their communities, and for other purposes.",,118,D,NJ,1,1,0,0,3,,"Senate - Health, Education, Labor, and Pensions",https://www.congress.gov/bill/118th-congress/senate-bill/848,0.24%,0
S. ,847,"A bill to establish the International Children with Disabilities Protection Program within the Department of State, and for other purposes.",,118,D,NJ,10,7,3,0,3,,Senate - Foreign Relations,https://www.congress.gov/bill/118th-congress/senate-bill/847,0.24%,0
S. ,846,"A bill to amend the Federal Meat Inspection Act and the Poultry Products Inspection Act to allow the interstate sale of State-inspired meat and poultry, and for other purposes.",,118,R,SD,10,2,7,1,3,,"Senate - Agriculture, Nutrition, and Forestry",https://www.congress.gov/bill/118th-congress/senate-bill/846,0.24%,0
S. ,845,A bill to allow for expedited approval of generic prescription drugs and temporary importation of prescription drugs in the case of marginally competitive drug markets and drug shortages.,,118,D,MN,3,1,2,0,3,,"Senate - Health, Education, Labor, and Pensions",https://www.congress.gov/bill/118th-congress/senate-bill/845,0.24%,0
S. ,844,"A bill to authorize the declaration of a hazardous train event, and for other purposes.",,118,D,PA,2,2,0,0,3,,"Senate - Commerce, Science, and Transportation",https://www.congress.gov/bill/118th-congress/senate-bill/844,0.24%,0
S. ,843,"A bill to amend the Infrastructure Investment and Jobs Act to authorize the use of funds for certain additional Carey Act projects, and for other purposes.",,118,R,ID,0,0,0,0,3,,Senate - Energy and Natural Resources,https://www.congress.gov/bill/118th-congress/senate-bill/843,0.24%,0
S. ,842,"A bill to amend titles XVIII and XIX of the Social Security Act to provide for coverage of dental and oral health services, vision services, and hearing services under the Medicare and Medicaid programs.",,118,D,PA,5,5,0,0,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/842,0.24%,0
S. ,841,"A bill to authorize the Caribbean Basin Security Initiative, to enhance the United States- Caribbean security partnership, to prioritize natural disaster resilience, and for other purposes.",,118,D,VA,1,0,1,0,3,,Senate - Foreign Relations,https://www.congress.gov/bill/118th-congress/senate-bill/841,0.25%,0
S. ,840,A bill to protect the rights of the people of the United States under the Second Amendment to the Constitution of the United States.,,118,R,SC,9,0,9,0,3,,Senate - Judiciary,https://www.congress.gov/bill/118th-congress/senate-bill/840,0.24%,0
S. ,839,"A bill to require agencies to complete a regulatory impact analysis before issuing a significant rule, and for other purposes.",,118,R,SD,1,0,1,0,3,,Senate - Homeland Security and Governmental Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/839,0.24%,0
S. ,838,A bill to amend title XVIII of the Social Security Act to improve access to mental health services under the Medicare program.,,118,D,MI,1,0,1,0,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/838,0.24%,0
S. ,837,"A bill to enhance civil penalties under the Federal securities laws, and for other purposes.",,118,D,RI,1,0,1,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/837,0.24%,0
S. ,836,A bill to amend the Consumer Product Safety Act to strike provisions that limit the disclosure of certain information by the Consumer Product Safety Commission.,,118,D,CT,0,0,0,0,3,,"Senate - Commerce, Science, and Transportation",https://www.congress.gov/bill/118th-congress/senate-bill/836,0.24%,0
S. ,835,"A bill to amend title 17, United States Code, to reaffirm the importance of, and include requirements for, works incorporated by reference into law, and for other purposes.",,118,D,DE,3,1,2,0,3,,Senate - Judiciary,https://www.congress.gov/bill/118th-congress/senate-bill/835,0.24%,0
S. ,834,"A bill to amend the National Agricultural Research, Extension, and Teaching Policy Act of 1977 to reauthorize the Agriculture Advanced Research and Development Authority, and for other purposes.",,118,D,CO,1,0,1,0,3,,"Senate - Agriculture, Nutrition, and Forestry",https://www.congress.gov/bill/118th-congress/senate-bill/834,0.24%,0
S. ,833,A bill to provide for media coverage of Federal court proceedings.,,118,R,IA,5,4,1,0,3,,Senate - Judiciary,https://www.congress.gov/bill/118th-congress/senate-bill/833,0.24%,0
S. ,832,"A bill to amend section 70108 of title 46, United States Code, to prohibit the Secretary of the Department in which the United States Coast Guard is operating from entering into an agreement relating to assessing the effectiveness of antiterrorism measures at a foreign port with any foreign government that is a state sponsor of terrorism, and for other purposes.",,118,R,FL,1,0,1,0,3,,"Senate - Commerce, Science, and Transportation",https://www.congress.gov/bill/118th-congress/senate-bill/832,0.24%,0
S. ,831,"A bill to address transnational repression by foreign governments against private individuals, and for other purposes.",,118,D,OR,3,1,2,0,3,,Senate - Foreign Relations,https://www.congress.gov/bill/118th-congress/senate-bill/831,0.24%,0
